Country,Population,LogPopulation
Afghanistan,40000360,7.602063899960711
Africa,1413750475,9.150372763850289
Africa (Un),1413753005,9.1503735410483
Albania,2849591,6.454782530468232
Algeria,44761051,7.650900275312562
American Samoa,49202,4.691982756655776
Americas (Un),1029207205,9.012502817842224
Andorra,78328,4.893917037559422
Angola,34532382,7.538226536466343
Anguilla,14458,4.160108220410951
Antigua And Barbuda,92316,4.965276978485372
Argentina,45312226,7.656215397773324
Armenia,2870293,6.457926231851837
Aruba,107524,5.031505412197983
Asia,4716996761,9.673665578030668
Asia (Un),4718316334,9.673787054291251
Asia (Excl. China And India),1806393856,9.256812447438602
Australia,25956358,7.414243755483338
Austria,8967006,6.952647460354016
Azerbaijan,10234332,7.010059501304194
Bahamas,396326,5.59805256409836
Bahrain,1501708,6.1765854943744705
Bangladesh,167658798,8.224426348236639
Barbados,282111,5.450420020384942
Belarus,9251315,6.966203468593448
Belgium,11570794,7.063363161716405
Belize,395312,5.5969399978863095
Benin,13413371,7.12753793689102
Bermuda,64622,4.810380394961764
Bhutan,775407,5.8895297172897765
Bolivia,11937318,7.076906763255824
Bonaire Sint Eustatius And Saba,27302,4.436194462320936
Bosnia And Herzegovina,3244869,6.511197168401248
Botswana,2401410,6.380466314799339
Brazil,209550238,8.321288158426976
British Virgin Islands,37790,4.577376891917014
Brunei,451676,5.654827014748957
Bulgaria,6877173,6.837409949454768
Burkina Faso,21995205,7.342328014048908
Burundi,12965439,7.112787226238405
Cambodia,16974258,7.22979079894378
Cameroon,26915707,7.430005791997371
Canada,38454011,7.584941646200264
Cape Verde,516610,5.713162808540329
Cayman Islands,70080,4.845594093160024
Central African Republic,5112047,6.708594838058563
Chad,17828225,7.251108106435106
Chile,19456275,7.289059696066042
China,1426437224,9.154252663570873
Colombia,51188120,7.709169179391636
Comoros,818133,5.9128239106039135
Congo,5892137,6.7702728362107
Cook Islands,15158,4.180641902729832
Costa Rica,5059939,6.704145281242352
Cote D'Ivoire,29639680,7.471873510542634
Croatia,3924558,6.593790751789512
Cuba,11122126,7.0461878107907605
Curacao,185279,5.267826198050937
Cyprus,1317269,6.11967447145864
Czechia,10530619,7.022453900186735
Democratic Republic Of Congo,99148879,7.996287808335912
Denmark,5856724,6.767654758243205
Djibouti,1121203,6.049684251130437
Dominica,67176,4.827214140177769
Dominican Republic,11123434,7.046238882301928
East Timor,1350102,6.1303665806163075
Ecuador,17682398,7.247541161556412
Egypt,110956950,8.045154510282469
El Salvador,6255737,6.796278482083492
Equatorial Guinea,1758752,6.245204604309736
Eritrea,3350142,6.525063215547124
Estonia,1331699,6.124406073624548
