Country,Life Expectancy Both,Life Expectancy Female,Life Expectancy Male,Urban Population Percentage,Urban Population Absolute,Population Density
Afghanistan,66.5,68.1,64.9,26.7,11704638.0,67.0
Albania,80.0,81.7,78.1,70.3,1948831.0,101.0
Algeria,76.7,78.1,75.3,74.4,35291973.0,20.0
Angola,65.0,67.5,62.4,68.8,26847887.0,31.0
Antigua and Barbuda,77.9,80.6,74.9,28.5,26823.0,214.0
Argentina,77.7,80.2,75.1,96.0,44010474.0,17.0
Armenia,76.0,79.7,71.8,63.8,1882155.0,104.0
Aruba,76.6,79.1,74.0,44.7,48340.0,601.0
Australia,84.2,86.0,82.4,86.5,23335357.0,4.0
Austria,82.3,84.6,80.0,58.6,5337973.0,111.0
