Country,GDP_per_capita_PPP,Population,LogPopulation,TotalGDP,LogGDPperCapita,Life Expectancy Both,Life Expectancy Female,Life Expectancy Male,Urban Population Percentage,Urban Population Absolute,Population Density
Afghanistan,2144.1665,40000360,7.602063899960711,85767431899.93999,3.3312585064048905,66.5,68.1,64.9,26.7,11704638.0,67.0
Albania,16353.809,2849591,6.454782530468232,46601666942.118996,4.2136189212178214,80.0,81.7,78.1,70.3,1948831.0,101.0
Algeria,14496.865,44761051,7.650900275312562,648894913605.115,4.16127409462075,76.7,78.1,75.3,74.4,35291973.0,20.0
Angola,7408.1265,34532382,7.538226536466343,255820254202.323,3.8697083896812887,65.0,67.5,62.4,68.8,26847887.0,31.0
Argentina,26300.273,45312226,7.656215397773324,1191723914037.698,4.419960256542161,77.7,80.2,75.1,96.0,44010474.0,17.0
Armenia,15921.705,2870293,6.457926231851837,45699958409.565,4.201989572977212,76.0,79.7,71.8,63.8,1882155.0,104.0
Aruba,35696.31,107524,5.031505412197983,3838210036.4399996,4.552623324530551,76.6,79.1,74.0,44.7,48340.0,601.0
Australia,57321.562,25956358,7.414243755483338,1487858984391.196,4.75831801631599,84.2,86.0,82.4,86.5,23335357.0,4.0
Austria,63576.242,8967006,6.952647460354016,570088543471.452,4.803294853133673,82.3,84.6,80.0,58.6,5337973.0,111.0
Azerbaijan,20111.375,10234332,7.010059501304194,205826488726.5,4.303441764007912,74.7,77.4,71.9,58.7,6101378.0,126.0
Bahamas,29340.473,396326,5.59805256409836,11628392302.198,4.46746711085812,74.9,78.5,71.2,88.4,356391.0,40.0
Bahrain,54954.676,1501708,6.1765854943744705,82525876586.608,4.740004651711246,81.6,82.3,81.0,0.0,0.0,162.0
Bangladesh,7441.0693,167658798,8.224426348236639,1247560734672.7014,3.871635349218033,75.2,76.9,73.6,42.6,74837709.0,350.0
Barbados,15683.885,282111,5.450420020384942,4424596481.235,4.195453649233339,76.5,78.9,73.9,32.5,91766.0,657.0
Belarus,27611.18,9251315,6.966203468593448,255439723701.7,4.441084967180299,74.8,79.4,69.9,84.4,7589573.0,44.0
Belgium,61873.965,11570794,7.063363161716405,715930902978.21,4.791507947318624,82.4,84.6,80.3,98.8,11613585.0,388.0
Belize,11677.461,395312,5.5969399978863095,4616240462.832,4.067348425519822,73.9,76.8,71.2,48.6,205478.0,19.0
Benin,3464.2886,13413371,7.12753793689102,46467788242.8706,3.539614064686701,61.1,62.6,59.7,47.8,7076087.0,131.0
Bhutan,13458.8125,775407,5.8895297172897765,10436057424.1875,4.129006742841276,73.5,75.6,71.8,50.3,400623.0,21.0
Bolivia,9454.198,11937318,7.076906763255824,112857767960.964,3.9756246935250674,68.9,71.5,66.4,70.6,8887268.0,12.0
Botswana,17961.357,2401410,6.380466314799339,43132582313.37,4.254339144989907,69.4,72.0,66.9,75.6,1937024.0,5.0
