Original,Corrected
Antigua and Barbuda,Antigua And Barbuda
Bosnia and Herzegovina,Bosnia And Herzegovina
Cote d'Ivoire,Cote D'Ivoire
Democratic Republic of Congo,Democratic Republic Of Congo
East Asia and Pacific (WB),East Asia And Pacific (Wb)
Europe and Central Asia (WB),Europe And Central Asia (Wb)
High-income countries,High-Income Countries
Latin America and Caribbean (WB),Latin America And Caribbean (Wb)
Low-income countries,Low-Income Countries
Lower-middle-income countries,Lower-Middle-Income Countries
Micronesia (country),Micronesia (Country)
Middle East and North Africa (WB),Middle East And North Africa (Wb)
Middle-income countries,Middle-Income Countries
North America (WB),North America (Wb)
Saint Kitts and Nevis,Saint Kitts And Nevis
Saint Vincent and the Grenadines,Saint Vincent And The Grenadines
Sao Tome and Principe,Sao Tome And Principe
Sint Maarten (Dutch part),Sint Maarten (Dutch Part)
South Asia (WB),South Asia (Wb)
Sub-Saharan Africa (WB),Sub-Saharan Africa (Wb)
Trinidad and Tobago,Trinidad And Tobago
Turks and Caicos Islands,Turks And Caicos Islands
Upper-middle-income countries,Upper-Middle-Income Countries
Africa (UN),Africa (Un)
Americas (UN),Americas (Un)
Antigua and Barbuda,Antigua And Barbuda
Asia (UN),Asia (Un)
Asia (excl. China and India),Asia (Excl. China And India)
Bonaire Sint Eustatius and Saba,Bonaire Sint Eustatius And Saba
Bosnia and Herzegovina,Bosnia And Herzegovina
Cote d'Ivoire,Cote D'Ivoire
Democratic Republic of Congo,Democratic Republic Of Congo
Europe (UN),Europe (Un)
Europe (excl. Russia),Europe (Excl. Russia)
High-income countries,High-Income Countries
Isle of Man,Isle Of Man
Latin America and the Caribbean (UN),Latin America And The Caribbean (Un)
Low-income countries,Low-Income Countries
Lower-middle-income countries,Lower-Middle-Income Countries
Micronesia (country),Micronesia (Country)
Northern America (UN),Northern America (Un)
Oceania (UN),Oceania (Un)
Saint Kitts and Nevis,Saint Kitts And Nevis
Saint Martin (French part),Saint Martin (French Part)
Saint Pierre and Miquelon,Saint Pierre And Miquelon
Saint Vincent and the Grenadines,Saint Vincent And The Grenadines
Sao Tome and Principe,Sao Tome And Principe
Sint Maarten (Dutch part),Sint Maarten (Dutch Part)
South America (excl. Brazil),South America (Excl. Brazil)
Svalbard and Jan Mayen,Svalbard And Jan Mayen
Trinidad and Tobago,Trinidad And Tobago
Turks and Caicos Islands,Turks And Caicos Islands
Upper-middle-income countries,Upper-Middle-Income Countries
Wallis and Futuna,Wallis And Futuna
