Country,TotalGDP
Afghanistan,85767431899.93999
Albania,46601666942.118996
Algeria,648894913605.115
Andorra,4647372796.584
Angola,255820254202.323
Antigua And Barbuda,2375594861.22
Argentina,1191723914037.698
Armenia,45699958409.565
Aruba,3838210036.4399996
Australia,1487858984391.196
Austria,570088543471.452
Azerbaijan,205826488726.5
Bahamas,11628392302.198
Bahrain,82525876586.608
Bangladesh,1247560734672.7014
Barbados,4424596481.235
Belarus,255439723701.7
Belgium,715930902978.21
Belize,4616240462.832
Benin,46467788242.8706
Bermuda,5963074793.547999
Bhutan,10436057424.1875
Bolivia,112857767960.964
Bosnia And Herzegovina,60173097346.04401
Botswana,43132582313.37
Brazil,3787768284767.7905
Brunei,35343104988.8
Bulgaria,203128844451.294
Burkina Faso,54689559563.355
Burundi,10847736800.1984
Cambodia,105673798237.2366
Cameroon,129021948784.092
Canada,2145030105398.7
Cape Verde,3970364516.2339997
Cayman Islands,5196492268.8
Central African Republic,5769212910.7628
Chad,30310959813.574997
Chile,566276868415.0499
China,29108919292117.52
Colombia,906032795287.2001
Comoros,2815368851.7560997
Congo,36903699628.7618
Costa Rica,122149123473.526
Cote D'Ivoire,179177929878.528
Croatia,144871577487.054
Curacao,4662359644.326
Cyprus,65771030406.96
Czechia,526485699930.15704
Democratic Republic Of Congo,130243771963.99779
Denmark,411975553759.68005
Djibouti,6668759596.783
Dominica,1047561689.16
Dominican Republic,243739577900.84
East Timor,9214166003.835
Ecuador,239414558706.978
Egypt,1728600099361.2
El Salvador,67622727829.218
Equatorial Guinea,29584758830.4
Estonia,60011075149.557
Eswatini,11879921363.436
Ethiopia,316144976971.781
European Union (27),23517256721046.637
Fiji,9794788848.793
Finland,317782260336.53
France,3561973517575.0103
Gabon,44024696208.72
Gambia,7155505530.7365
Georgia,71660063613.59999
Germany,5268732035210.457
Ghana,214866793308.32098
Greece,355233636397.61005
Greenland,3814612007.9600005
Grenada,1784449557.335
Guatemala,208162024681.34
Guinea,51260776530.444
Guinea-Bissau,5046061251.51
Guyana,18645909919.74
Haiti,35658635257.6092
High-Income Countries,69298408511609.2
Honduras,63827613780.249
Hong Kong,493118930022.18
Hungary,375186822512.0
Iceland,23113037705.19
India,11384367216191.424
Indonesia,3530622413662.74
Iran,1322576495914.485
Iraq,548371439078.148
Ireland,593866413218.442
Israel,413502324843.56396
Italy,3014244261219.8003
Jamaica,27176486189.976
Japan,5598929332069.92
Jordan,101616347309.76
Kazakhstan,650468530955.25
Kenya,284129042537.505
Kiribati,391387777.1694
Kosovo,21527994276.498
Kuwait,221039861877.229
Kyrgyzstan,39125270675.407005
Laos,60224641283.7765
Latvia,67134676775.4
Lebanon,66328476231.325
Lesotho,5755015444.62
Liberia,8095127505.1742
Libya,90198918378.38
Lithuania,130153110890.67001
Low-Income Countries,1614811962922.5002
Lower-Middle-Income Countries,24332604693849.09
Luxembourg,88318439330.22
Macao,51506305854.14
Madagascar,47488215256.3191
Malawi,33831556794.604797
Malaysia,1022397888685.95
Maldives,9833496940.629
Mali,52560060288.483795
Malta,30515982399.0
Marshall Islands,277261128.423
Mauritania,27635112774.384
Mauritius,29094701542.764
Mexico,2684657840824.863
Micronesia (Country),437621371.025
Moldova,47418361203.17
Mongolia,49400600830.377
Montenegro,14799221906.480001
Morocco,318667569330.804
Mozambique,46205665954.9978
Myanmar,276462071533.49066
Namibia,27287512931.9
Nauru,142542195.9585
Nepal,133999946302.00851
Netherlands,1229138619708.27
New Zealand,246158014564.692
Nicaragua,47088396150.748795
Niger,38850510158.32
Nigeria,1200097010832.9
North Macedonia,41410959014.264
Norway,482445705394.2
Oman,174252192454.746
Pakistan,1285342600405.037
Palau,278444261.97499996
Palestine,29364922138.142403
Panama,134413995375.04
Papua New Guinea,39820137236.9262
Paraguay,102976823029.70999
Peru,506696674835.685
Philippines,1001824074157.7401
Poland,1589115626474.664
Portugal,403812324153.54
Puerto Rico,131947112532.59999
Qatar,328876557763.23004
Romania,732798373833.24
Russia,5678639058460.032
Rwanda,36474291403.26
Saint Kitts And Nevis,1257094085.346
Saint Lucia,3409348018.1740003
Saint Vincent And The Grenadines,1634572732.6690001
Samoa,1328215063.665
San Marino,2236685364.618
Sao Tome And Principe,1272233915.2218
Saudi Arabia,1747125080586.88
Senegal,71874147972.9812
Serbia,161783490754.87802
Seychelles,3686049832.428
Sierra Leone,23058996001.006
Singapore,731349945984.0
Sint Maarten (Dutch Part),1682906564.036
Slovakia,209204198958.304
Slovenia,97798377066.0
Solomon Islands,1920412317.3936
Somalia,24049786689.3812
South Africa,843279585933.582
South Korea,2518349098605.372
Spain,2104716031427.1
Sri Lanka,324980931560.01
Sudan,156168107292.22562
Suriname,11404659833.942
Sweden,657510547112.85
Switzerland,710516946183.3301
Syria,99337541850.37439
Tajikistan,39727064743.7368
Tanzania,219471679865.295
Thailand,1452136404789.9058
Togo,22881280759.084003
Tonga,741832841.25
Trinidad And Tobago,45858887254.730995
Tunisia,149105223535.539
Turkey,2742537442911.1797
Turkmenistan,116550657933.76
Turks And Caicos Islands,958175688.666
Tuvalu,54423676.491
Uganda,123267074403.4744
Ukraine,790570728811.1279
United Arab Emirates,659789680026.125
United Kingdom,3577795292534.055
United States,24259733903880.56
United States Virgin Islands,4088367263.2000003
Upper-Middle-Income Countries,54431572335219.36
Uruguay,100002186761.711
Uzbekistan,316673158441.752
Vanuatu,959051752.9812
Vietnam,1192058770010.708
World,156725222675148.7
Zambia,68671942792.46
Zimbabwe,50310580453.39101
